timestamp,query,mode,stage,latency_ms,input_tokens,output_tokens,provider,routing
2026-08-25T07:18:20.678480+00:00,What is cultural anthropology?,prelims,gen,1449.24,998,30,groq,n/a
2026-08-25T07:19:18.280788+00:00,What is social and cultural anthropology?,prelims,gen,1811.36,985,139,groq,n/a
2026-08-25T07:19:39.504283+00:00,What is social and cultural anthropology?,prelims,gen,1701.48,985,136,groq,n/a
2026-08-25T07:21:37.639191+00:00,In which month and year Salt Satyagraha happend?,prelims,gen,1687.93,1084,19,groq,n/a
2026-08-25T07:29:31.237850+00:00,Shifting Cultivation?,mains,gen,2035.22,940,161,groq,n/a
2026-08-25T07:29:44.380327+00:00,Shifting Cultivation?,mains,gen,2201.25,940,150,groq,n/a
2026-08-25T08:11:13.951400+00:00,what is Australopithecus?,prelims,gen,1833.64,1207,121,groq,n/a
2026-08-25T08:11:59.662470+00:00,What is the current status and recent milestone of ISRO's Gaganyaan mission?,prelims,gen,1803.9,1429,128,groq,n/a
2026-08-25T08:30:58.736457+00:00,what is Australopithecus?,prelims,gen,1851.63,1207,129,groq,n/a
2026-08-25T09:03:44.658858+00:00,Explain the main themes and priorities outlined in the Union Budget 2026-27?,prelims,gen,2748.83,1648,304,groq,n/a
2026-08-25T09:20:02.539321+00:00,Explain the main themes and priorities outlined in the Union Budget 2026-27.,prelims,gen,3975.79,1648,303,groq,n/a
2026-08-25T09:21:30.144619+00:00,What is the current status and recent milestone of ISRO's Gaganyaan mission?,prelims,gen,2018.85,1639,150,groq,n/a
2026-08-25T09:23:43.475217+00:00,Explain the main themes and priorities outlined in the Union Budget 2026-27?,current_affairs,gen,3264.12,1115,373,groq,n/a
2026-08-25T09:35:01.391510+00:00,What are the latest developments in India's semiconductor manufacturing policy a,current_affairs,gen,3690.12,6866,418,groq,n/a
2026-08-25T10:51:49.951209+00:00,when did happen India and China held the 25th round of Special Representatives (,current_affairs,gen,996.09,1353,37,groq,n/a
2026-08-25T15:34:31.086172+00:00,What is an OBPP?,current_affairs,gen,4201.68,2456,407,groq,n/a
2026-08-25T15:35:18.623180+00:00,What is an OBPP?,current_affairs,gen,2648.47,2456,334,groq,n/a
2026-08-25T15:36:54.300946+00:00,What is an OBPP?,current_affairs,gen,3738.95,1795,355,groq,n/a
2026-08-25T15:47:20.421461+00:00,What is NFRA?,current_affairs,gen,3059.89,1827,105,groq,n/a
2026-08-25T15:48:23.267855+00:00,What is NFRA?,current_affairs,gen,3635.93,1276,180,groq,n/a
2026-08-25T16:09:32.299715+00:00,What is Giloy?,current_affairs,gen,3042.18,2206,472,groq,n/a
2026-08-27T04:42:44.353126+00:00,What is the current status and milestones of ISRO's Gaganyaan mission?,current_affairs,gen,5215.09,2673,430,groq,n/a
2026-08-27T05:19:44.785641+00:00,Evolutionary stages of Human?,mains,gen,3051.02,1122,214,groq,n/a
2026-08-27T05:21:09.210126+00:00,What is The Anthropoid skeleton??,mains,gen,3145.91,1060,251,groq,n/a
2026-08-27T05:21:26.794624+00:00,What is The Anthropoid skeleton?,mains,gen,3685.19,1060,187,groq,n/a
2026-08-27T05:23:03.769361+00:00,Concept of Biological age and its relevance in Human Studies?,mains,gen,3831.7,1074,360,groq,n/a
2026-08-27T05:32:58.498029+00:00,explain in detail about hands of primates?,mains,gen,2237.95,933,140,groq,n/a
2026-08-27T06:28:13.689523+00:00,explain Stress theories of Ageing?,mains,gen,1213.49,1052,31,groq,n/a
2026-08-27T06:29:27.242401+00:00,what is Stress theories of Ageing?,mains,gen,1025.02,1052,31,groq,n/a
2026-08-27T06:29:48.080517+00:00,Stress theories of Ageing?,mains,gen,3619.05,976,119,groq,n/a
2026-08-27T06:56:43.833149+00:00,"Under the Food Safety and Standards Authority of India (FSSAI) regulations, only",current_affairs,gen,1278.3,1567,44,groq,n/a
2026-08-27T08:40:16.458549+00:00,The most important strategy for the conservation of biodiversity together with t,current_affairs,gen,26933.82,0,0,n/a,n/a
2026-08-27T08:45:37.531407+00:00,The most important strategy for the conservation of biodiversity together with t,current_affairs,gen,11984.32,0,0,n/a,n/a
2026-08-27T10:05:01.193074+00:00,When and Where did Salt Satyagraha Happened?,prelims,gen,1685.57,1044,18,groq,n/a
2026-08-27T10:15:19.838093+00:00,which is also known as slash and burn agriculture.,prelims,gen,2036.99,1754,26,groq,n/a
2026-08-27T10:15:59.478424+00:00,which is also known as slash and burn agriculture.,mains,gen,1690.92,1856,32,groq,n/a
2026-08-27T10:18:24.892496+00:00,Tell about Netting Robert McC.,mains,gen,4107.31,1434,255,groq,n/a
2026-08-27T10:26:52.619545+00:00,who are  the council of eight ministers assisted Shivaji?,mains,gen,1962.07,1696,62,groq,n/a
2026-08-27T10:28:46.001140+00:00,who are  the council of eight ministers assisted Shivaji?,mains,gen,2876.23,1696,58,groq,n/a
2026-08-27T10:29:00.460898+00:00,who are  the council of eight ministers assisted Shivaji? give all the eight min,mains,gen,1998.22,1589,31,groq,n/a
2026-08-27T10:30:05.958682+00:00,who are  the council of eight ministers assisted Shivaji?,mains,gen,2015.63,1696,66,groq,n/a
2026-08-27T10:32:40.152156+00:00,when was Shivaji born?,prelims,gen,1751.49,1588,17,groq,n/a
2026-08-27T10:34:50.049139+00:00,when was peshwa captured?,prelims,gen,1589.1,1400,17,groq,n/a
2026-08-27T10:36:55.104601+00:00,give the summary of the east india company?,mains,gen,5177.79,1896,435,groq,n/a
2026-08-27T10:40:45.090426+00:00,In which university netting robert mcc has earned his Ph.D.,mains,gen,1459.17,1756,31,groq,n/a
2026-08-27T10:41:06.593699+00:00,In which university netting robert mcc has earned his Ph.D.,prelims,gen,1595.58,1654,31,groq,n/a
2026-08-27T10:41:33.898757+00:00,In which university Netting has earned his Ph.D.,prelims,gen,1925.4,1732,31,groq,n/a
2026-08-27T10:46:55.117741+00:00,"In our pdf we have the answer ""Netting, Robert McC. (1934-1995)-   Robert McC. N",mains,gen,3468.89,2237,216,groq,n/a
2026-08-27T10:47:35.737386+00:00,In which university Netting has earned his Ph.D.,mains,gen,1369.03,1834,30,groq,n/a
2026-08-27T10:50:55.206387+00:00,Is Netting has earned his Ph.D from the University  of Chicago.,prelims,gen,1202.76,1738,30,groq,n/a
2026-08-27T10:53:32.769527+00:00,When did the battle of kirkee happend?,prelims,gen,1385.34,1089,14,groq,n/a
2026-08-27T10:56:33.548066+00:00,difference between the slavery practiced by the hinduism and the slavery practic,mains,gen,4661.14,1817,349,groq,n/a
2026-08-28T05:21:29.578288+00:00,About Netting robert mcC,mains,gen,4985.65,2394,389,groq,n/a
2026-08-28T05:22:53.712226+00:00,About Netting robert mcC,mains,gen,5054.18,2394,389,groq,n/a
2026-08-28T05:28:50.158426+00:00,About Netting robert mcC,mains,gen,3873.43,1770,628,groq,n/a
2026-08-28T05:29:15.945192+00:00,About Netting robert mcC,prelims,gen,3597.72,1629,279,groq,n/a
2026-08-28T05:29:26.406370+00:00,About Netting robert mcC,prelims,gen,3849.61,1629,279,groq,n/a
2026-08-28T07:36:48.311427+00:00,Name the eight ministers who assisted Shivaji in his administration?,mains,gen,1545.81,981,31,groq,n/a
2026-08-28T07:41:13.602451+00:00,what is salt satyagraha?,mains,gen,3690.87,1141,296,groq,n/a
2026-08-28T07:41:20.168090+00:00,Name the eight ministers who assisted Shivaji in his administration?,mains,gen,2853.38,1965,80,groq,n/a
2026-08-28T07:42:36.947793+00:00,Name the eight ministers who assisted Shivaji in his administration?,mains,gen,2578.37,2075,31,groq,n/a
2026-08-28T07:45:51.945797+00:00,Name the eight ministers who assisted Shivaji in his administration?,mains,gen,2640.79,2286,85,groq,n/a
2026-08-28T10:45:35.806254+00:00,Name the eight ministers who assisted Shivaji in his administration?,mains,gen,4033.57,2595,132,groq,n/a
2026-08-28T10:47:41.005197+00:00,In which year Partition Bengal happened?,prelims,gen,2291.64,915,149,groq,n/a
2026-08-28T10:48:53.296946+00:00,Name the eight ministers who assisted Shivaji in his administration?,mains,gen,2707.51,1765,53,groq,n/a
2026-08-28T10:49:38.799420+00:00,Name the eight ministers who assisted Shivaji in his administration?,mains,gen,1674.14,1763,62,groq,n/a
2026-08-28T10:49:43.795981+00:00,Name the eight ministers who assisted Shivaji in his administration?,mains,gen,2183.67,1763,65,groq,n/a
2026-08-28T10:59:11.102832+00:00,What is social and cultural anthropology?,mains,gen,40825.13,1222,694,gemini,n/a
2026-08-28T11:07:10.148456+00:00,Who is Netting Robert McC?,prelims,gen,1568.01,1158,65,groq,n/a
2026-08-28T11:09:19.291555+00:00,In which University he earned his Ph.D?,prelims,gen,2310.21,978,33,groq,n/a
2026-08-28T11:10:20.085623+00:00,In which University Netting Robert McC earned his Ph.D?,prelims,gen,1623.25,1165,33,groq,n/a
2026-08-28T11:14:28.382025+00:00,What is cultural ecology?,mains,gen,4415.18,2272,667,groq,n/a
2026-08-28T11:14:45.040539+00:00,What is cultural ecology?,mains,gen,4482.57,2272,485,groq,n/a
2026-08-28T11:18:00.924462+00:00,Explain cultural ecology in detail.,mains,gen,4562.11,2319,743,groq,n/a
2026-08-28T11:22:27.637022+00:00,Where did Robert McC. Netting earn his PhD?,mains,gen,1520.78,2497,30,groq,n/a
2026-08-28T11:22:38.893600+00:00,he earned his phd in which unversity ?,mains,gen,1273.32,2520,26,groq,n/a
2026-08-28T11:28:39.633903+00:00,Where did Robert McC. Netting earn his PhD??,prelims,gen,2391.51,944,162,groq,n/a
2026-08-29T09:21:31.047572+00:00,What is the PM Modi visit to Uzbekistan and Kyrgyzstan about?,current_affairs,gen,26672.61,1838,998,gemini,n/a
2026-08-29T10:27:28.426176+00:00,India budget 2024 key highlights,current_affairs,gen,16872.69,1959,629,gemini,n/a
2026-08-29T10:27:42.454041+00:00,India budget 2024 key highlights,current_affairs,gen,21833.7,1980,1088,gemini,n/a
2026-08-29T10:31:30.184664+00:00,What is the significance of Indus Valley Civilization?,prelims,gen,20274.42,2722,1092,gemini,n/a
2026-08-29T10:31:39.790020+00:00,Explain Kinship theory in anthropology,mains,gen,13717.52,2588,1035,gemini,n/a
2026-08-29T10:50:37.656152+00:00,India news today,current_affairs,gen,37635.3,2529,659,gemini,n/a
2026-08-29T15:06:30.168000+00:00,Who was the council of eight minister assisted Shivaji?,mains,gen,12864.65,1386,1074,gemini,n/a
2026-08-29T15:08:45.024359+00:00,Who was the council of eight minister assisted Shivaji?,mains,gen,10728.55,2445,1092,gemini,n/a
2026-08-29T15:09:36.635767+00:00,I need only the council of eight minister who assisted Shivaji?,mains,gen,5600.02,3524,31,gemini,n/a
2026-08-29T15:20:37.257472+00:00,I need only the council of eight minister who assisted Shivaji?,mains,gen,19671.71,4173,1245,gemini,n/a
2026-08-29T16:02:36.354506+00:00,I need only the council of eight minister who assisted Shivaji?,mains,gen,12799.83,5497,935,gemini,n/a
2026-08-29T16:07:29.441737+00:00,I need only the council of eight minister who assisted Shivaji?,prelims,gen,87113.83,0,0,n/a,n/a
2026-08-29T16:12:33.771125+00:00,I need only the council of eight minister who assisted Shivaji?,mains,gen,113700.09,0,0,n/a,n/a
2026-08-29T16:14:22.578764+00:00,I need only the council of eight minister who assisted Shivaji?,mains,gen,1691.97,4581,31,groq,n/a
2026-08-29T16:22:50.638000+00:00,I need only the council of eight minister who assisted Shivaji?,prelims,gen,2775.31,4125,121,groq,n/a
2026-08-29T16:25:32.259035+00:00,In which University did Netting Robert McC completed his PhD?,prelims,gen,2103.18,3031,30,groq,n/a
2026-08-29T16:38:54.871352+00:00,latest current affairs what happened in India today?,current_affairs,gen,2928.0,2309,348,groq,n/a
2026-08-29T16:40:36.917999+00:00,what happened in Nepal?,current_affairs,gen,2264.88,1426,119,groq,n/a
2026-08-29T16:42:11.503153+00:00,How many India peoples are in Nepal now?,current_affairs,gen,2538.03,1537,82,groq,n/a
2026-08-31T05:14:25.277994+00:00,explain Salt satyagraha?,prelims,gen,4839.92,4037,449,groq,n/a
2026-08-31T05:14:52.120017+00:00,explain Salt satyagraha?,prelims,gen,23090.99,4037,1220,gemini,n/a
2026-08-31T05:15:06.256299+00:00,explain Salt satyagraha?,prelims,gen,4502.94,4037,442,groq,n/a
2026-08-31T05:21:59.005831+00:00,explain social and cultural anthropology?,prelims,gen,3069.9,4206,478,groq,n/a
2026-08-31T05:22:57.499524+00:00,when did Salt saltyagraha happened?,prelims,gen,2413.87,3830,213,groq,n/a
2026-08-31T05:24:04.343200+00:00,who is Netting Robert McC?,prelims,gen,3632.22,4924,354,groq,n/a
2026-08-31T05:25:02.542842+00:00,who all are the eight minister who assissted Shivaji?,prelims,gen,1356.85,5874,33,groq,n/a
2026-08-31T05:26:51.412620+00:00,when did the partion of bengal happened?,prelims,gen,2045.14,4441,45,groq,n/a
2026-08-31T05:28:46.634853+00:00,Explain about Indian Nation Congress?,prelims,gen,4504.66,4569,559,groq,n/a
2026-08-31T05:30:10.610075+00:00,An Understanding of the Tribal Sexuality ?,prelims,gen,4836.9,5358,647,groq,n/a
2026-08-31T05:32:01.816385+00:00,what is kinship and its types?,prelims,gen,2975.44,5629,250,groq,n/a
2026-08-31T05:33:47.169081+00:00,Universal Principles of Kinship?,prelims,gen,4300.59,4832,467,groq,n/a
2026-08-31T05:34:26.690195+00:00,Name The Universal Principles of Kinship?,prelims,gen,3203.99,5243,338,groq,n/a
2026-08-31T05:36:15.471967+00:00,what is Genealogy?,prelims,gen,3456.93,6143,364,groq,n/a
2026-08-31T05:37:50.296355+00:00,What are the symbols used in genealogy ?,prelims,gen,4120.83,5845,180,groq,n/a
2026-08-31T05:39:09.039457+00:00,What are the Abbreviations used for different relatives studied through genealog,prelims,gen,2425.62,6732,216,groq,n/a
2026-08-31T05:41:49.583467+00:00,What is DESCENT and Explain its types?,prelims,gen,3944.69,5463,429,groq,n/a
2026-08-31T05:42:43.183852+00:00,in detail explanation?,prelims,gen,4576.15,5443,503,groq,n/a
2026-08-31T05:45:44.389784+00:00,. Definition of Media Anthropology?,prelims,gen,2406.37,6260,283,groq,n/a
2026-08-31T05:46:59.650613+00:00,What is the aim of Media Anthropology ?,prelims,gen,3878.2,5578,273,groq,n/a
2026-08-31T05:47:53.702324+00:00,What are the Rules of Marriage?,prelims,gen,2145.97,6653,34,groq,n/a
2026-08-31T05:49:01.815062+00:00,Major dynasties of south India?,prelims,gen,3755.01,6776,337,groq,n/a
2026-08-31T05:50:56.746325+00:00,Rules of Marriage?,prelims,gen,4547.48,6356,433,groq,n/a
2026-08-31T05:53:10.909377+00:00,Differentiate Hypergamy and Hypogamy?,prelims,gen,2689.49,4866,277,groq,n/a
2026-08-31T05:54:43.001123+00:00,In Hindu society this is known as?,prelims,gen,30728.59,6738,911,gemini,n/a
2026-08-31T05:57:19.216448+00:00,The First Carnatic war?,prelims,gen,4730.03,5667,334,groq,n/a
2026-08-31T05:58:53.645910+00:00,Who is Muhammad Ghori?,prelims,gen,3219.63,5275,269,groq,n/a
2026-08-31T06:00:49.321016+00:00,When did the First Battle of Tarain happened?,prelims,gen,26293.63,6548,473,gemini,n/a
2026-08-31T06:02:02.870471+00:00,When did Second Battle of Panipat happened?,prelims,gen,2312.16,5802,33,groq,n/a
2026-08-31T06:02:48.243400+00:00,Second Battle of Panipat?,prelims,gen,1969.5,5411,34,groq,n/a
2026-08-31T06:03:25.423648+00:00,When Aurangzeb was born?,prelims,gen,12661.31,5530,522,gemini,n/a
2026-08-31T06:04:20.825504+00:00,Who is Akbar?,prelims,gen,4927.51,5508,315,groq,n/a
2026-08-31T06:05:17.334933+00:00,Do you know about Second Battle of Panipat?Explain?,prelims,gen,4295.68,4940,411,groq,n/a
2026-08-31T06:06:12.064673+00:00,What is Din-i-Ilahi?,prelims,gen,2608.96,5629,343,groq,n/a
2026-08-31T07:14:11.680229+00:00,What are the key features of Harappan urban planning?,prelims,gen,1967.45,782,269,groq,n/a
2026-08-31T07:14:21.101731+00:00,What are the key features of Harappan urban planning?,prelims,gen,1994.77,782,248,groq,n/a
2026-08-31T07:14:51.447233+00:00,What are the key features of Harappan urban planning?,prelims,gen,22753.65,782,446,gemini,n/a
2026-08-31T07:26:38.652406+00:00,what is the latest news in India?,current_affairs,gen,4896.64,5392,444,groq,n/a
2026-08-31T07:47:47.290335+00:00,What are the key provisions and exemptions under the RTI Act 2005?,prelims,gen,2012.43,587,159,groq,n/a
2026-08-31T07:48:06.661287+00:00,What are the key provisions and exemptions under the RTI Act 2005?,mains,gen,19363.41,601,273,gemini,n/a
2026-08-31T08:01:44.527687+00:00,All members of the Ashta Pradhan?,prelims,gen,14802.81,7142,278,gemini,n/a
2026-08-31T08:02:37.949631+00:00,All members of the Ashta Pradhan?,prelims,gen,9480.69,5814,298,gemini,n/a
2026-08-31T08:04:03.512027+00:00,All members of the Ashta Pradhan?,mains,gen,18714.77,8621,409,gemini,n/a
2026-08-31T08:05:09.977452+00:00,Explain Indian National Congress?,prelims,gen,15360.98,4901,445,gemini,n/a
2026-08-31T08:12:58.997091+00:00,All members of the Ashta Pradhan?,mains,gen,16205.63,7955,411,gemini,n/a
2026-08-31T08:16:05.440774+00:00,All members of the Ashta Pradhan?,prelims,gen,9005.99,5501,291,gemini,n/a
2026-08-31T08:16:54.893110+00:00,what is salt satyagraha?,prelims,gen,12533.37,5590,448,gemini,n/a
2026-08-31T08:20:27.348642+00:00,what is salt satyagraha?,prelims,gen,18810.46,5877,557,gemini,n/a
2026-08-31T08:21:47.121396+00:00,All members of the Ashta Pradhan?,prelims,gen,20539.03,5779,288,gemini,n/a
2026-08-31T08:25:53.629525+00:00,How many members are in Ashta Pradhan?,prelims,gen,16865.62,6494,33,gemini,n/a
2026-08-31T08:27:56.121764+00:00,In which University Netting Robert.McC gained his PhD?,prelims,gen,17022.24,6381,33,gemini,n/a
2026-08-31T08:42:43.233458+00:00,By whom and where the Theosophical College was established?,prelims,gen,21689.02,4584,61,gemini,n/a
2026-08-31T08:43:26.712568+00:00,By whom and where the Theosophical College was established?,prelims,gen,20621.01,4584,60,gemini,n/a
2026-08-31T08:53:49.707311+00:00,Shah Jahan’s Rebellions means?,prelims,gen,10498.08,4548,356,gemini,n/a
2026-08-31T08:55:48.339028+00:00,What is the Capital of Vijayanagara Empire?,prelims,gen,8054.53,3942,113,gemini,n/a
2026-08-31T08:57:09.640916+00:00,When did Jahangir went to Kashmir ?,prelims,gen,6827.1,5065,25,gemini,n/a
2026-08-31T09:21:30.937799+00:00,Social and Cultural Awakening in India?,mains,gen,3730.48,4284,568,groq,n/a
2026-08-31T09:24:48.749593+00:00,Social and Cultural Awakening in India under Railways?,mains,gen,15076.72,6771,581,gemini,n/a
2026-08-31T10:54:47.655982+00:00,who are the council of eight ministers assisted shivaji?,mains,gen,1661.36,5799,31,groq,n/a
2026-08-31T10:56:06.244762+00:00,who are the council of eight ministers assisted Shivaji?,mains,gen,9082.67,6582,403,gemini,n/a
2026-08-31T10:57:32.012197+00:00,who are the council of eight ministers assisted Shivaji? give only the names.,prelims,gen,10231.9,4701,82,gemini,n/a
2026-08-31T11:00:27.334577+00:00,Tell about netting robert mcc.,prelims,gen,2182.18,3905,231,groq,n/a
2026-08-31T11:01:35.373509+00:00,In which university netting robert mcc gained his phd.,prelims,gen,7347.46,3977,33,gemini,n/a
2026-08-31T11:05:54.643598+00:00,what are the types of slavery practiced in  Hinduism and Islam.,mains,gen,17196.3,5625,360,gemini,n/a
2026-08-31T11:12:40.701431+00:00,give the following method's is used to study Human evolUtion,mains,gen,18070.82,5829,666,gemini,n/a
2026-08-31T11:15:21.157407+00:00,give the following method's is used to study Human evolUtion,prelims,gen,27923.93,4803,426,gemini,n/a
2026-08-31T11:18:32.334110+00:00,similarities between human DNA and other vertebrates DNA,prelims,gen,26498.19,4342,318,gemini,n/a
2026-08-31T11:26:23.115351+00:00,similarities between human DNA and other vertebrates DNA,mains,gen,17580.1,5874,479,gemini,n/a
